Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
140012.484,0.65312575,-0.61661931,-1.43711116,-0.27764024,0.64464822,0.41133430,-0.61432079,0.88580693,0.26602607,1.28679736,-1.34294859,-0.91016300,0.15829695,0.89059396,0.01379875,0.35548799,-1.46528433,-0.34318986,-0.95213410,0.13565450,-0.40378862,-2.21809323,1.03242038,-1.63527494,-0.48815913,-0.71006800,-0.08870565,0.32359274,8.18,0
172231.209,1.35417385,-1.17317319,-1.29250045,0.01561542,0.33689618,-0.25170873,-0.16625542,-0.36936819,-0.31202050,-0.85426018,-0.71871034,-2.50646054,0.71751416,-0.74044447,-0.91170596,-0.72480243,1.18064569,-0.01730059,-0.62488343,0.07013656,0.34581129,-0.08476047,-1.21913470,-1.08672701,-0.10935355,-0.68739722,-0.31031527,-0.35442121,20.59,0
161848.701,-0.50783935,1.15339827,0.90541166,-0.83282374,-0.17798105,-1.33788725,0.88008782,0.39689629,1.30429311,-1.03420547,0.32202039,-0.81143052,0.32277288,-0.79262432,1.47833441,-0.68197322,0.64309083,-0.25140916,-0.83981388,0.44529183,-0.03688102,0.22717323,-0.14080281,0.67635610,1.28738992,0.08747223,-0.42758963,-0.42377988,11.59,0
163033.961,-2.65565142,-0.19833975,0.24699268,0.27761991,-0.09328896,-0.24703373,-0.14849278,1.56929916,-0.63595006,-0.30743711,0.14384333,-2.39537927,0.20662951,-0.57780611,-0.18090069,0.51515735,-1.03859014,0.72177879,-0.57245284,-0.01600408,-1.21791149,1.14625459,0.64424695,-1.16905577,0.38638161,0.53401024,0.50717394,-0.18679076,29.95,0
19677.669,2.41779313,-0.51169156,0.57060730,0.62481243,0.50446238,0.71426907,0.15930460,-0.66751980,-0.04508682,0.43635576,0.58798717,-1.14040296,0.32642801,-0.28916334,0.29929743,0.42303412,1.56920329,0.82900914,-0.16969426,-0.29217186,-0.29446459,-0.45975936,-1.09377312,-0.38426793,-0.04950662,-1.90201997,0.01320054,-0.29455955,7.45,0
72216.692,1.16254351,-0.47498182,2.03173528,1.18860690,-1.40459476,-0.15062415,-0.42113048,1.86224431,1.76321858,-0.89764559,0.04236234,-1.41188928,1.21028979,-0.71350792,1.99315303,2.70238855,-0.87684992,0.99528795,-0.86435227,0.75675833,0.88649928,1.21241450,-0.63914655,-1.68074045,1.04129133,-0.52083214,-0.10633674,0.33336672,51.02,0
84290.198,-0.73095317,1.80972880,0.74070690,-0.03519409,-0.36954202,2.18315404,-0.75506160,-0.87340439,-1.51895173,-1.01044164,0.07734947,0.13138853,-0.60424947,0.29452152,0.38864856,-0.00160934,0.26635081,0.07107215,0.01641619,0.07153173,0.03207213,0.53308607,0.00718616,0.30444822,0.27777886,0.82395465,0.95433063,0.17371761,8.34,0
62468.096,-0.27303975,-1.41119436,-1.70285168,-0.00899330,0.88320589,-0.15447802,0.69024185,0.10192965,0.03696000,1.15605914,0.81773950,0.81745897,0.79600664,0.05409864,0.24492174,1.35589939,-0.55172571,0.14775404,0.88868974,0.82347566,-0.48179767,0.56813952,0.54191291,-0.53197954,0.99925464,-0.37182132,0.06544515,0.30302909,23.66,0
137326.733,1.06054451,-0.49203645,0.48142412,0.81451246,2.18734707,-0.40406518,0.07945882,1.23761611,1.19680235,0.66652701,0.73230128,-1.20968606,0.96345824,-0.04005800,0.44321881,-1.14018467,-1.55476578,-0.27441561,-0.00556107,0.06257182,-1.03737051,-0.50584045,0.97006488,0.43142130,0.73257900,1.51987926,-0.88689011,-0.72342633,12.13,0
81141.903,0.27639157,0.25118976,-1.05713255,-0.20088078,-2.02129594,-0.42600763,-0.99319471,0.15308313,-1.03746290,0.82610887,-1.99340203,1.86728807,-0.02255189,1.34935748,-1.70975117,0.96338416,-0.70115076,-1.38599045,-0.65025874,-1.81090419,-0.22348728,0.41446335,-0.48391414,-0.03311903,0.60317089,-1.40109108,-0.05889259,-0.63968699,12.27,0
5969.778,-0.09803810,-1.40368860,1.03630791,-2.16834593,-1.74575600,1.15116513,0.36150754,-1.37849001,0.12856023,-1.17210626,-0.88647732,-0.02429872,0.22407934,-0.94872963,1.14434893,-1.37779304,-0.60596136,0.46683559,0.25236692,-2.20430263,0.76195162,1.64070143,0.17660219,0.77540435,0.66695038,0.15310860,-0.06671081,-0.57679537,1.68,0
64485.023,0.04900658,2.37904559,0.56426635,-1.94973210,-1.14035312,0.83491159,0.33047655,-0.12208069,0.33389300,-0.69939814,-0.72033079,-0.29899330,2.58809300,0.66060183,1.13373629,-0.40776099,-0.87460026,1.12004897,0.16690764,0.75218781,0.96910814,0.76677512,0.08629324,-0.07117976,-0.89548453,-0.24952837,0.80061806,0.15987793,23.19,0
102388.040,2.26005098,-0.54820517,0.39994648,-0.36193981,-0.75596856,0.98891671,-0.07088984,-0.53217151,-0.59482016,-1.56645002,2.35262217,-0.40037212,-0.79836606,-1.15415209,0.05746311,0.53610271,-0.84125870,-0.27428706,0.89571623,0.61034916,-0.81200932,-0.47727344,0.52008650,0.28369221,-0.32368604,0.16858926,0.50769889,-0.20633491,66.76,0
14152.047,-1.27322831,0.53854003,0.80564605,-0.50090167,-0.46214231,0.86045910,0.23000638,-1.55041175,-0.29090781,0.89035331,-0.05399010,0.31734068,0.84604934,-2.67385894,-0.26006285,-1.28838023,-0.90552440,-0.94055416,-1.09907768,0.15811679,0.85422924,-0.17423553,0.27728153,-0.01992255,-0.94697633,-0.57078288,0.87983755,0.63791413,57.21,0
5600.433,-0.69443062,-0.46214463,0.25193545,2.22402117,2.55653643,1.32458649,-0.53545709,1.70648728,-0.42627584,-2.12550851,4.19337586,-3.41588284,-1.68639371,-7.97885736,0.27907990,0.87083252,-1.07366578,-0.41041458,-0.44773627,1.05879334,1.06045468,0.21701189,-0.71545255,0.57283916,0.19901016,0.11710629,0.16341773,1.28020636,3349.95,1
89563.893,0.33482361,0.46100208,0.94460940,-1.09146393,-1.51903962,0.38758423,-0.63095176,-1.46788437,0.94086121,0.38651645,-0.93531997,-0.58453469,0.89332612,1.47880270,0.86877145,-1.07442073,-1.57095273,0.55501955,0.19576936,-0.32950367,-0.56170954,1.08819756,1.28119749,1.32571787,-0.10723098,0.04867629,0.51789964,-0.06010437,45.71,0
67977.430,1.21545269,-0.60939582,0.17237258,-2.38814664,-0.20534030,-0.53344949,-0.13754271,1.61212083,-0.89124908,-0.23213677,1.91511070,1.21057777,-0.70807684,-1.21946934,-0.37291625,1.43130837,2.26308796,-0.34935210,0.04677072,2.04946179,-1.30082309,0.74685624,-0.53449754,0.89084947,0.04921967,-0.28162758,-0.21290869,0.35575452,13.31,0
18410.569,0.86377887,-1.06550127,-0.77121001,0.01385863,-0.39303716,0.91385804,0.28706022,0.08298951,-1.73402989,-0.84642440,0.26152505,-0.56916872,1.01170111,-1.16139483,-1.15761054,-0.33047675,-0.61762672,-0.68555565,-0.70860051,0.81546247,0.54173592,-0.95134994,0.80375999,-0.00868550,1.17473959,0.24400855,0.18452268,-0.15666055,165.20,0
86799.775,-0.39110767,1.97053507,0.29461126,-0.13975594,1.95358768,0.52417249,-0.03902271,0.64014894,-0.31966574,-0.52602314,0.17310995,0.69622501,0.63045085,-0.11241597,0.96164667,-0.64760228,-0.40026212,-0.33207996,0.50309585,-0.40237399,1.00059681,-0.51761760,0.60824748,-0.38057056,-0.04256804,-0.74062101,-1.26762413,-0.51335527,146.29,0
27249.855,-1.16544088,-0.08781475,-1.14513828,-0.92569382,-1.27203347,0.64721125,-1.00904118,0.17370892,-1.79338276,-0.83638184,0.72569842,-1.43994297,-1.14944120,-2.09040703,0.29555581,-0.52666431,-0.85413728,-0.67533856,-0.20912815,-0.47010312,-0.18113409,-0.69670777,-1.99463552,-0.90531491,-0.94643027,1.35858044,-0.17193115,-1.48487107,31.28,0
113597.787,-0.82943881,-0.03966114,1.60983474,0.65576043,-0.04305218,-0.02819369,1.51686617,-0.87913457,-0.25723866,1.43511571,0.36836803,1.21864167,-1.37872698,1.08616515,-0.31994398,-0.49217853,-0.20922770,0.99667254,0.41528203,-0.32521475,0.10222581,0.50635138,0.33903886,-0.28181361,0.49702618,-1.52321235,0.21151286,-0.10508298,60.99,0
43170.580,-0.17435029,-0.14996651,-0.06652197,0.97846814,0.58429431,0.33205606,-0.22501883,-0.78735853,-0.38912448,0.13258721,1.28217467,-0.44781371,0.49562723,-1.39952307,-0.03573308,1.23742493,-0.22058412,-0.88200448,-0.27043547,-0.01784221,-1.72794533,-0.10852819,0.42653517,-0.52850581,0.10956990,-0.38149544,1.33138193,1.47842207,9.54,0
31351.377,0.06510043,1.29365350,-1.49084349,-1.30267987,1.08952311,-0.03206887,0.07367317,0.88983486,-0.08004759,-0.09755695,-0.00376760,-0.38166688,-0.20067016,0.80047222,0.33905194,-0.24814334,0.44966287,-0.79194074,0.15929397,-0.06416554,0.52659093,0.45106057,-0.55022669,-1.20489334,-0.24243283,-0.92064623,0.02592171,0.56587470,34.62,0
110555.734,-0.92706907,-1.38824073,-0.30107045,-0.95642356,0.72922454,0.07495311,-0.00392921,-0.89663776,0.63818599,-0.28778871,-0.52461403,-2.04026169,-0.19338561,-1.75027681,0.74077750,0.27545231,-1.41032120,0.92639690,0.35418249,0.77039897,0.64605388,0.32759949,0.25854675,-0.37909714,-0.40930141,1.02521883,-0.53827272,-1.74529164,91.76,0
82878.272,-0.41787678,0.90356347,0.32738524,-1.97582174,0.08200305,0.74415003,0.11013556,0.79772738,1.05625805,1.07821492,0.17610665,-0.82782767,-0.03465632,-0.92185509,0.10318337,-0.63806586,-1.50074621,1.42489355,-0.06421681,0.05675459,-1.61599307,-1.35455986,-0.30837651,0.28574882,0.32134444,1.12809887,0.31167502,0.16904466,11.22,0
56821.069,0.13603154,-1.45826668,-2.09486115,-2.13085375,-1.37120137,-0.14507373,-1.41348628,-0.55085989,-1.47021704,-1.26897185,-0.17299266,-1.07899806,-1.91209082,0.71002362,0.33796513,-0.11061484,-1.31009743,0.89452969,-1.54370958,0.38782878,0.62536341,-1.40381073,-0.59311968,1.96121628,0.88056826,-1.31238735,1.27797432,-0.14766341,92.74,0
74647.331,1.35759621,0.80870402,-0.09334530,1.41302536,0.99927688,-0.46723699,2.05196853,-1.42364648,-1.54454183,2.03043132,1.17620477,1.99705486,0.23420143,-1.01798432,0.26507319,1.15760003,1.44256764,-0.63092756,1.30359351,0.98238821,-0.32087434,0.39043797,1.45816274,0.24682678,-0.15788628,0.85328275,-0.48407313,1.56070149,71.76,0
59731.152,-0.20160786,0.85319504,-2.25153197,-1.10412633,-0.24271494,0.54375832,-0.26021260,-1.22199300,0.68430717,0.34984908,0.36633907,0.72084060,1.24355164,1.11911145,-0.07929022,0.78137638,-0.01348270,0.46216424,0.19856451,-0.36050002,-0.20447558,-0.99287880,0.95244240,-0.59881245,0.27547199,-0.67177045,0.14326486,0.14256725,75.70,0
72278.307,0.23978659,-0.25425161,0.81760648,0.85915287,-0.34291889,-0.28828636,0.04972704,-0.33696095,1.68511525,-0.79251562,-0.31397145,1.15291797,1.26112036,1.08601152,0.62989301,0.11618851,0.39623153,1.13444501,-0.04854078,1.02879118,-0.52750703,-0.08310732,-0.81031681,-0.93625960,1.14956489,-0.17382525,1.43387426,0.08987912,14.29,0
6920.617,1.23417758,-2.08068414,-1.66563664,2.94379824,0.44586448,0.41815960,1.29277274,-0.15991330,0.16063816,-0.95183241,1.86495025,-0.57361998,0.08748602,0.42482024,-0.57481334,1.06843310,1.62499047,-1.11863411,1.19955566,-0.65103944,1.05692564,0.16621382,0.67333068,-0.45393031,0.19723334,-0.37025606,0.28945465,0.02398322,19.99,0
54544.776,0.08051156,0.33182898,0.26906955,-0.32673486,0.36709274,0.29548098,1.13695750,0.53870206,-0.20798069,-0.39774971,-1.03925866,-1.75622890,-1.09237929,2.70459689,1.38204385,-0.15254008,0.39395269,-0.51456547,-1.05560612,0.69213143,-0.10498826,-0.62836402,0.03914660,0.72383866,1.32721805,1.43071131,0.22064170,0.12208824,21.03,0
152364.487,-1.14459439,-1.21256734,1.94886442,-0.92267254,-1.48129902,-0.03425138,-1.00802168,-0.65620603,-0.33590092,1.14498864,0.00918251,0.43956006,-0.37353678,0.04909887,0.70886983,0.53461590,-0.21591555,0.10870939,1.51458329,-0.43348997,0.64799101,-0.40938568,-1.34523993,0.05405794,-0.83777244,0.30733367,0.14634846,-0.73725044,19.71,0
83472.848,-0.47250206,1.03281546,-1.53146628,0.31222168,-0.23459406,0.17680181,-0.25147300,0.85231772,0.19892098,-0.55728604,2.39145581,0.95461148,0.52639830,-1.38408134,-1.95104744,0.81346431,1.33222827,0.07687806,-0.40436548,-0.96368763,1.01593279,0.30639464,-0.24380671,1.25355816,-0.33679754,1.12623168,-1.43768071,-0.36664352,5.21,0
65507.561,0.97797708,0.73962898,-1.34924577,-0.75509250,0.34672961,0.82254608,0.81882905,-0.37052287,1.86358470,-0.50666981,0.24293145,0.02924351,-0.90672263,2.44539816,-0.80664265,-2.21721553,0.39431848,-0.40124500,-0.44648105,-0.21616188,-0.55854248,-0.05034482,0.66089132,1.35217852,-2.24097163,0.01689647,0.53038307,0.20583745,18.21,0
150137.096,1.54531826,0.17563661,0.12483787,-1.80629427,0.03350491,0.08423772,1.03340178,0.04010532,-0.04838732,0.68049795,0.84086667,1.32585238,-0.59501772,0.79718922,-0.80859804,-2.38635106,-0.89652845,-0.90785032,0.41015238,0.14957672,0.91883605,0.15488499,0.40308303,0.20649853,0.03837009,-1.36140880,1.82114790,-1.69380915,3.44,0
123625.754,0.01443343,-1.04385899,0.42938023,-0.97689557,-2.02029264,0.28024131,0.01634566,-0.92496227,-1.48303940,-0.32560186,0.65051484,1.41172839,-0.19279777,-0.79338428,-0.32800850,-0.56552896,-0.58853809,0.97493587,-0.82484399,0.60391375,-0.01115357,-1.21142442,-0.65306290,-0.30526709,0.33258109,0.05293668,-0.20989084,0.34894442,73.07,0
140811.253,-0.33254164,1.05217374,0.06793515,-0.20178987,0.45401623,-0.26517833,-1.74857292,-0.41988739,1.48378279,-0.11327359,0.35527392,-0.44225654,0.62834258,-0.51518621,0.25493171,-0.75751195,-0.34370561,-0.25160168,0.53373845,-0.74100920,-1.38556501,0.49642038,0.55548864,0.70392579,0.72379758,-0.38376251,-0.29814264,-1.35494458,34.74,0
91478.279,-2.28871366,-0.47545132,-2.84032267,0.33028978,-1.78838176,0.33645532,0.54198600,-1.36665896,0.44596978,1.36267584,1.03496753,2.48497857,-0.33045416,-1.64542402,2.24848161,0.18055635,-1.12241917,0.71009361,1.31793662,-0.81955014,-0.39455983,0.82632116,-1.42108443,-0.51356224,0.48251965,0.21606070,0.34331552,0.26419330,5.42,0
11434.774,0.78050267,0.72756543,0.06457819,0.48824969,-0.18762538,0.61080286,-1.05754926,0.12868280,0.23979016,-0.07008456,-0.37655117,-0.12616710,0.89735797,1.19912146,0.72597766,-0.22010012,1.33406011,-1.25442133,-0.01037035,0.16671734,0.38582895,0.16023787,-0.07129573,-0.73471786,0.25578203,-0.72458741,0.43543338,0.90036271,89.41,0
38301.603,-0.48246376,-1.09644064,1.26790854,-0.76623434,0.46041460,2.36236684,-0.25055037,0.20340936,-0.19030763,-0.52549418,-1.21563878,-0.53951340,-0.46676467,0.50021527,-0.08323205,-0.83474599,-0.23616177,0.66145037,0.72838985,0.53215981,1.54670164,-0.28123390,-0.74432658,-0.01264171,-0.59794919,0.39545366,-0.35999250,-1.11454563,69.10,0
128181.977,-0.26456020,0.46978020,-1.72395504,-0.86838080,-0.51838270,0.80104725,1.06942343,0.82357130,1.02905115,-0.22222493,0.55747484,1.40396705,-0.11877012,-0.51014273,-0.50814899,0.94651029,-0.19466990,0.38168055,-0.08989017,-1.06177930,0.48701820,-0.08208380,1.41839389,0.15842728,-1.64751984,0.55023870,-0.35911095,-1.31126431,315.16,0
54562.096,-0.10532397,0.42856568,-0.47162142,-0.27419450,0.03522370,1.54314244,-1.42490297,-0.70540491,-1.13780812,-0.58160935,-0.78923415,-1.11070001,0.90300674,-1.70616890,-0.24527274,1.75724334,-2.22823508,-2.49750491,1.15159089,-0.31927806,0.79863918,-0.58664203,-0.00564473,0.73462919,0.38873401,0.56490655,-0.17779381,0.30084205,42.53,0
108506.775,1.00811633,-1.94233937,-0.71932516,0.01095363,-0.33018174,-0.74113144,-0.68394422,0.28101534,-0.79839122,0.87893312,-0.01565698,0.29753738,0.52020216,2.11690655,0.89421440,0.76534471,-1.13617525,-0.31616369,-0.63802580,2.44408409,-0.06752063,0.65976440,-1.03148243,-0.61081281,-0.91333631,1.16148453,-0.06184773,0.12326756,56.86,0
85040.135,-1.97230836,-0.55546142,-2.06350781,-3.09126066,-1.39671107,0.63562813,0.23711490,-0.19406704,5.28856417,3.92842377,1.92646341,-0.12967482,-1.79645644,2.56108609,-2.06357628,0.18257553,0.45490070,2.10178254,1.67081851,-0.29852330,-0.33393402,-0.32929895,-1.66777783,-0.77855723,-0.71155620,0.48084442,1.24230612,-2.23583155,1553.26,1
78398.279,0.28563625,-0.72288710,-1.54011355,-0.17935913,0.71157981,-1.15173548,1.48074796,-1.36098581,-0.47328955,-1.10666665,0.51674575,-0.25303797,-0.35242338,0.23652621,1.66871407,0.67088781,-1.72470590,2.99283766,-0.26925637,0.03167616,1.26687181,-0.74823026,-0.25851409,2.15580735,-1.12478153,-0.78390705,0.27686967,-1.16101466,153.24,0
18948.255,-0.79325540,0.37840050,1.46055334,0.07533407,0.83755170,-0.15789486,-0.62704677,-0.86061025,-1.10807593,0.13183592,0.80083714,-0.94648371,-0.43935986,0.33534871,-1.12048607,-0.18250313,1.18187759,-1.41920798,-0.65765254,0.24033693,-0.87206163,-0.24111897,0.47849846,1.51406424,-1.21111690,2.13094849,0.27928987,0.28259331,15.14,0
90326.143,-1.34009831,0.36873542,-0.20959811,-0.95451831,-0.12607534,0.08191806,-0.53570924,-0.31862410,-0.79602151,-0.12971760,1.02514338,-1.51323733,-1.26853321,1.38529431,-0.97212225,1.09750518,0.55930204,0.04859489,-0.00281693,0.32970655,0.60027642,-0.69183513,0.62583586,0.80071865,-1.10304109,-0.21708263,0.26052247,0.19249180,58.09,0
67802.906,0.41437342,-1.22781727,0.56861316,1.28170120,0.61189276,0.44671900,-0.00103904,1.49809241,-0.74451190,-0.71222491,-0.06917938,-0.83275469,-0.02291232,1.33370293,0.49312904,-1.31135016,-0.40799117,0.45880938,0.05623047,-0.03764310,-0.65765046,0.90852528,-1.34035700,-0.38871925,0.39514358,-1.06344377,0.26492647,0.16688208,10.37,0
28630.157,2.14547841,0.23861372,0.22537507,0.68557113,-0.77614533,-0.39731231,-0.14321839,1.11323611,1.20618657,0.66328366,-1.48855039,1.67704824,0.71627297,-0.50281864,0.84893295,1.61330415,0.68230903,-0.11297321,0.53890086,0.86167679,0.62632959,-0.54197124,-0.80929501,1.00335543,0.44695933,-0.06125960,-0.61764252,0.28393230,3.00,0
78345.731,1.53486834,0.57929747,1.24625118,-1.08729499,-0.92426451,-0.35497876,1.36005687,0.50861498,-0.87634739,1.07312176,0.84145225,-2.77748481,-0.15444525,3.14455994,-0.15560210,2.11682539,-0.17457339,-1.60338538,1.02320529,1.90738027,-1.24626608,0.16638691,0.13535015,-1.23982120,-0.47659307,-0.47414028,0.78680280,-0.72349163,3.36,0
133845.296,1.70963665,0.41581244,-0.38870269,1.92191818,0.86232976,-2.42346943,1.66265920,-0.08382978,1.61709355,0.51368924,-0.54810205,0.82939371,-0.41208213,0.10728550,0.22500836,-1.37293350,0.93158520,-0.53528350,0.32202321,0.71225330,-0.02941076,-0.88803707,1.22893273,0.17072150,-0.74217589,-0.37238763,-0.35220534,0.84771014,9.14,0
41528.175,0.20119374,1.13366483,1.17859349,0.38292169,1.97087038,0.76972922,0.70964137,0.80100924,0.72111254,-0.75763726,0.02617597,-0.36666885,-0.35865678,-0.13962651,0.23317650,-0.06784198,1.90250225,0.24052128,0.12837809,-1.17627878,0.69135026,0.57175473,-0.71647232,-1.18964487,0.14763326,-0.32185955,0.85963362,-0.56385885,0.67,0
170623.985,-0.98089344,0.00866565,0.39096845,0.44247342,-1.31161142,-1.80138769,0.38359619,-0.34692318,-1.42874779,0.77847405,-1.12708637,-0.15916892,-0.86290911,-0.80907460,-0.42077995,0.29393072,0.59162564,-0.97685795,-0.25200083,-0.40679934,0.59347010,-0.14919775,-0.88055221,-0.43178190,0.08489839,-0.48140027,0.66907091,2.31822764,62.84,0
17605.663,-1.32699177,0.38073051,-1.69656144,2.03411870,0.86482960,-0.83602502,0.45652795,-0.63241130,0.00809760,1.47455569,-0.69999265,1.00388540,0.68802236,0.20896676,1.70433252,-1.14844416,0.70757137,0.90660007,-0.47919138,-0.12708402,0.95007734,-1.03143621,-0.05530341,0.84348784,0.46540099,0.33222100,-0.02576782,0.41208353,64.43,0
90753.626,-1.41973566,0.15054111,0.56950848,0.95944720,0.90209142,-0.48683504,-0.37733287,0.94755132,-0.36050989,-1.25919430,-0.96680435,0.10074738,-0.62077765,-1.57127388,-1.49263894,1.91767580,0.36964679,-1.32905710,0.50069080,-0.86955617,-0.00376489,-0.40721507,0.88206655,0.53090690,-0.50036228,0.08334940,0.36836130,-0.50992514,26.68,0
34640.879,-0.94276305,-0.16324222,0.11449549,-0.75545859,-0.08415214,-0.39971058,-2.14092858,1.41341527,0.34091739,0.45207453,-1.00730598,1.37670182,1.22260047,-0.43517643,1.42285222,-0.70488902,-0.29804347,0.61277238,-1.38750434,-0.23840222,-0.68799552,-0.08690000,0.52262531,1.26185819,0.42639017,0.46933034,-1.14611267,-0.32463021,11.32,0
